,[0],"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 1, 2]","[0, 1, 3]","[0, 1, 4]","[0, 1, 5]","[0, 1, 6]","[0, 2, 3]","[0, 2, 4]","[0, 2, 5]","[0, 2, 6]","[0, 2, 7]","[0, 3, 4]","[0, 3, 5]","[0, 3, 6]","[0, 3, 7]","[0, 4, 5]","[0, 4, 6]","[0, 4, 7]","[0, 4, 8]","[0, 5, 6]"
Op. 14 ii,5.378973105134474,12.224938875305623,1.7114914425427872,1.9559902200488997,3.1784841075794623,2.444987775061125,0.4889975550122249,8.557457212713937,4.645476772616137,9.290953545232274,7.823960880195599,5.623471882640587,3.1784841075794623,0.9779951100244498,0.7334963325183375,0.4889975550122249,0.7334963325183375,9.04645476772616,0.24449877750611246,2.444987775061125,1.466992665036675,6.601466992665037,1.466992665036675,1.7114914425427872,1.2224938875305624,6.356968215158925
Op. 14 iii,5.109489051094891,9.124087591240876,1.824817518248175,0.7299270072992701,1.824817518248175,2.18978102189781,0.7299270072992701,13.138686131386862,4.37956204379562,11.313868613138686,8.02919708029197,8.75912408759124,3.2846715328467155,1.094890510948905,0.0,0.36496350364963503,1.094890510948905,6.934306569343065,1.824817518248175,2.5547445255474455,0.7299270072992701,5.839416058394161,1.824817518248175,1.4598540145985401,0.7299270072992701,5.109489051094891
Op. 14 iv,0.0,9.591836734693878,0.8163265306122449,0.8163265306122449,0.8163265306122449,0.40816326530612246,0.20408163265306123,28.775510204081634,4.285714285714286,9.591836734693878,5.3061224489795915,7.551020408163265,5.918367346938775,1.4285714285714286,1.0204081632653061,1.6326530612244898,0.6122448979591837,5.3061224489795915,0.6122448979591837,1.2244897959183674,1.0204081632653061,3.6734693877551026,1.6326530612244898,1.0204081632653061,0.20408163265306123,6.530612244897959
Op. 14 v,2.4154589371980677,7.729468599033816,0.966183574879227,1.932367149758454,2.4154589371980677,1.932367149758454,0.0,14.009661835748794,4.3478260869565215,10.628019323671497,7.729468599033816,4.830917874396135,3.3816425120772946,1.4492753623188406,2.4154589371980677,3.3816425120772946,0.4830917874396135,9.178743961352657,0.966183574879227,3.3816425120772946,0.4830917874396135,6.280193236714976,0.4830917874396135,0.0,1.932367149758454,7.246376811594203
Op. 14 vi,3.375527426160337,13.080168776371309,0.42194092827004215,1.6877637130801686,1.6877637130801686,1.6877637130801686,1.6877637130801686,15.611814345991561,3.79746835443038,11.39240506329114,5.485232067510549,5.063291139240507,5.485232067510549,0.42194092827004215,0.0,0.8438818565400843,1.6877637130801686,8.438818565400844,0.42194092827004215,0.0,0.8438818565400843,6.751054852320674,1.2658227848101267,2.109704641350211,0.8438818565400843,5.9071729957805905
Op. 15 i,12.0,14.461538461538462,5.230769230769231,2.769230769230769,4.3076923076923075,1.8461538461538463,1.5384615384615385,11.692307692307692,3.076923076923077,8.0,4.615384615384616,4.3076923076923075,4.0,0.9230769230769231,0.9230769230769231,2.1538461538461537,0.3076923076923077,5.538461538461538,0.0,1.2307692307692308,0.9230769230769231,3.3846153846153846,2.1538461538461537,1.2307692307692308,0.9230769230769231,2.4615384615384617
Op. 15 ii,0.0,6.302521008403361,0.42016806722689076,1.680672268907563,0.42016806722689076,0.42016806722689076,0.8403361344537815,15.126050420168067,7.9831932773109235,10.92436974789916,5.46218487394958,5.46218487394958,5.46218487394958,0.8403361344537815,0.42016806722689076,0.0,0.42016806722689076,14.285714285714285,0.8403361344537815,1.680672268907563,0.42016806722689076,6.722689075630252,2.100840336134454,2.5210084033613445,1.2605042016806722,7.9831932773109235
Op. 15 iii,4.232804232804233,7.936507936507936,1.5873015873015872,5.291005291005291,0.5291005291005291,0.5291005291005291,0.5291005291005291,12.16931216931217,4.232804232804233,11.11111111111111,7.4074074074074066,5.291005291005291,7.936507936507936,1.0582010582010581,1.0582010582010581,2.6455026455026456,1.5873015873015872,9.523809523809524,1.5873015873015872,1.5873015873015872,0.5291005291005291,1.5873015873015872,3.1746031746031744,0.5291005291005291,0.5291005291005291,5.82010582010582
Op. 15 iv,0.0,0.8,0.8,1.6,1.6,0.0,0.0,12.0,8.799999999999999,10.4,7.199999999999999,4.8,6.4,1.6,2.4,0.8,0.8,12.8,3.2,4.8,1.6,8.0,0.8,0.0,0.8,8.0
Op. 15 v,5.063291139240507,9.70464135021097,2.9535864978902953,1.2658227848101267,2.9535864978902953,0.42194092827004215,0.42194092827004215,14.345991561181433,6.329113924050633,6.751054852320674,2.109704641350211,5.485232067510549,4.641350210970464,5.063291139240507,1.6877637130801686,4.219409282700422,2.9535864978902953,6.751054852320674,1.6877637130801686,1.6877637130801686,0.42194092827004215,2.9535864978902953,4.219409282700422,0.42194092827004215,0.42194092827004215,5.063291139240507
Op. 16 i,0.0,8.75912408759124,0.0,0.0,0.0,0.0,0.0,12.408759124087592,7.2992700729927,12.408759124087592,10.218978102189782,6.569343065693431,5.109489051094891,2.18978102189781,1.4598540145985401,1.4598540145985401,0.0,13.86861313868613,0.7299270072992701,0.0,0.0,7.2992700729927,2.18978102189781,0.0,3.64963503649635,4.37956204379562
Op. 16 ii,0.0,2.380952380952381,0.0,0.0,0.0,0.0,0.0,11.904761904761903,7.142857142857142,14.285714285714285,10.714285714285714,1.1904761904761905,7.142857142857142,2.380952380952381,2.380952380952381,2.380952380952381,0.0,14.285714285714285,2.380952380952381,2.380952380952381,2.380952380952381,10.714285714285714,2.380952380952381,2.380952380952381,0.0,1.1904761904761905
Op. 16 iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.161616161616163,8.080808080808081,12.121212121212121,3.0303030303030303,6.0606060606060606,5.05050505050505,0.0,0.0,3.0303030303030303,0.0,13.131313131313133,3.0303030303030303,9.090909090909092,0.0,6.0606060606060606,0.0,3.0303030303030303,0.0,12.121212121212121
Op. 16 iv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.987012987012985,7.792207792207792,15.584415584415584,5.194805194805195,2.5974025974025974,10.38961038961039,2.5974025974025974,0.0,0.0,0.0,14.285714285714285,5.194805194805195,0.0,0.0,7.792207792207792,2.5974025974025974,2.5974025974025974,0.0,10.38961038961039
