,[0],"[0, 1]","[0, 2]","[0, 3]","[0, 4]","[0, 5]","[0, 6]","[0, 1, 2]","[0, 1, 3]","[0, 1, 4]","[0, 1, 5]","[0, 1, 6]","[0, 2, 4]","[0, 2, 5]","[0, 2, 6]","[0, 2, 7]","[0, 3, 6]","[0, 3, 7]","[0, 4, 8]"
Op. 23 i,0.4434589800443459,1.5521064301552108,1.1086474501108647,2.882483370288248,3.1042128603104215,1.3303769401330376,0.4434589800443459,4.878048780487805,11.086474501108649,21.286031042128602,13.52549889135255,5.764966740576496,3.1042128603104215,5.543237250554324,7.760532150776053,0.8869179600886918,5.321507760532151,5.543237250554324,4.434589800443459
Op. 23 ii,0.0,0.966183574879227,0.966183574879227,2.898550724637681,2.4154589371980677,2.4154589371980677,0.4830917874396135,4.3478260869565215,13.043478260869565,24.154589371980677,10.628019323671497,2.898550724637681,3.3816425120772946,8.212560386473431,4.830917874396135,2.4154589371980677,4.830917874396135,6.763285024154589,4.3478260869565215
Op. 23 iii,0.0,0.7194244604316548,1.1990407673860912,1.1990407673860912,2.3980815347721824,0.2398081534772182,0.0,3.357314148681055,10.551558752997602,22.302158273381295,14.388489208633093,6.954436450839328,2.877697841726619,4.556354916067146,10.79136690647482,1.9184652278177456,5.275779376498801,5.275779376498801,5.995203836930456
Op. 24 i,0.0,0.45662100456621,0.45662100456621,0.0,0.0,0.0,0.45662100456621,5.0228310502283104,3.1963470319634704,47.48858447488584,13.698630136986301,3.1963470319634704,4.5662100456621,0.45662100456621,8.67579908675799,0.0,0.0,5.93607305936073,6.392694063926941
Op. 24 ii,0.0,0.0,0.0,0.0,4.545454545454546,0.0,0.0,0.0,13.636363636363635,18.181818181818183,15.909090909090908,2.272727272727273,11.363636363636363,2.272727272727273,2.272727272727273,0.0,2.272727272727273,0.0,27.27272727272727
Op. 24 iii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.097560975609756,2.4390243902439024,46.34146341463415,9.75609756097561,8.536585365853659,2.4390243902439024,0.0,19.51219512195122,0.0,0.0,0.0,4.878048780487805
Op. 25 i,0.0,3.4782608695652173,0.0,2.608695652173913,0.0,0.8695652173913043,0.0,12.173913043478262,17.391304347826086,36.52173913043478,7.82608695652174,2.608695652173913,0.8695652173913043,3.4782608695652173,1.7391304347826086,0.8695652173913043,6.956521739130435,2.608695652173913,0.0
Op. 25 ii,0.0,7.333333333333333,1.3333333333333335,4.666666666666667,2.0,1.3333333333333335,0.6666666666666667,8.0,15.333333333333332,22.0,8.666666666666668,0.6666666666666667,2.666666666666667,10.0,4.0,0.0,8.0,2.666666666666667,0.6666666666666667
Op. 25 iii,0.0,5.454545454545454,0.0,1.8181818181818181,0.0,0.0,0.0,18.181818181818183,16.363636363636363,27.27272727272727,7.2727272727272725,3.6363636363636362,0.0,7.2727272727272725,0.0,0.0,7.2727272727272725,5.454545454545454,0.0
Op. 26,0.7246376811594203,7.729468599033816,0.7246376811594203,3.140096618357488,3.864734299516908,0.0,0.0,8.212560386473431,23.42995169082126,35.02415458937198,14.492753623188406,0.24154589371980675,1.2077294685990339,0.24154589371980675,0.0,0.0,0.4830917874396135,0.4830917874396135,0.0
Op. 27 i,0.0,3.3333333333333335,0.0,0.0,0.0,0.0,3.3333333333333335,15.555555555555555,7.777777777777778,18.88888888888889,12.222222222222221,10.0,10.0,3.3333333333333335,5.555555555555555,0.0,1.1111111111111112,5.555555555555555,3.3333333333333335
Op. 27 ii,0.0,9.375,3.125,0.0,10.9375,0.0,0.0,12.5,6.25,6.25,7.8125,9.375,3.125,6.25,12.5,3.125,3.125,6.25,0.0
Op. 27 iii,0.0,3.361344537815126,0.8403361344537815,2.5210084033613445,1.680672268907563,3.361344537815126,0.0,7.563025210084033,18.487394957983195,17.647058823529413,16.80672268907563,5.042016806722689,4.201680672268908,2.5210084033613445,5.042016806722689,5.88235294117647,0.0,5.042016806722689,0.0
Op. 28 i,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.84615384615385,16.666666666666664,28.205128205128204,0.0,0.0,1.282051282051282,0.0,0.0,0.0,0.0,0.0
Op. 28 ii,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.72477064220183,11.926605504587156,18.34862385321101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
